name	asciiname	longitude	latitude	countryCode	population
Yeghvard	Yeghvard	44.48608	40.32507	AM	10705
Vardenis	Vardenis	45.73053	40.18329	AM	11382
Vardenik	Vardenik	45.44311	40.13348	AM	7709
Tashir	Tashir	44.28462	41.12072	AM	7318
Step’anavan	Step'anavan	44.38531	41.00995	AM	23782
Spitak	Spitak	44.26731	40.83221	AM	15059
Sevan	Sevan	44.94171	40.5473	AM	17083
Sarukhan	Sarukhan	45.13068	40.29169	AM	6173
Sardarapat	Sardarapat	44.00969	40.13206	AM	5348
Noyemberyan	Noyemberyan	44.99917	41.17244	AM	5119
Noratus	Noratus	45.18048	40.37793	AM	5426
Nerk’in Getashen	Nerk'in Getashen	45.27087	40.14172	AM	7010
Metsamor	Metsamor	44.29169	40.07233	AM	8789
Masis	Masis	44.41618	40.06542	AM	18911
Martuni	Martuni	45.30548	40.13892	AM	11037
Vanadzor	Vanadzor	44.4939	40.80456	AM	101098
Karanlukh	Karanlukh	45.28972	40.10444	AM	5104
Gavarr	Gavarr	45.12386	40.35398	AM	21680
Ijevan	Ijevan	45.14851	40.87877	AM	14737
Hrazdan	Hrazdan	44.7662	40.49748	AM	40795
Armavir	Armavir	44.03815	40.15446	AM	25963
Gyumri	Gyumri	43.84528	40.7942	AM	148381
Garrni	Garrni	44.73442	40.11931	AM	6827
Dilijan	Dilijan	44.8501	40.7417	AM	13478
Chambarak	Chambarak	45.35498	40.59655	AM	6153
Byureghavan	Byureghavan	44.59333	40.31417	AM	6972
Berd	Berd	45.38901	40.88135	AM	8374
Ashtarak	Ashtarak	44.36204	40.2991	AM	18779
Aparan	Aparan	44.3589	40.59323	AM	5670
Alaverdi	Alaverdi	44.67316	41.09766	AM	13184
Akhuryan	Akhuryan	43.90027	40.78003	AM	7672
Abovyan	Abovyan	44.63348	40.27368	AM	35673
Saurimo	Saurimo	20.39155	-9.66078	AO	40498
Lucapa	Lucapa	20.74466	-8.41915	AO	20115
Luau	Luau	22.22466	-10.70727	AO	18465
Léua	Leua	20.45	-11.65	AO	5168
Uíge	Uige	15.06131	-7.60874	AO	60008
Soio	Soio	12.36894	-6.1349	AO	67491
Nzeto	Nzeto	12.8666	-7.23116	AO	18352
